date,bull,D_MVA200,length,heigth,type,entry,stop,gain,target,stop_trade,resistance_support,MVA200_interact,D_target,D_stop_trade,pair
2020-01-03 18:00:00,1,2.861585562,5,1.078311312,Double Top,1.11554,1.11793,0,1.108543571,1.120146429,below,0,3.156622623,2.078311312,EUR/USD
2020-01-07 18:00:00,1,3.060738449,15,1.582508251,Double Bottom,1.11518,1.11244,0,1.122391429,1.110708571,none,0,4.165016502,2.582508251,EUR/USD
2020-01-10 10:00:00,1,-0.3666903915,7,0.6476868327,Double Bottom,1.10962,1.10845,1,1.113766429,1.106643571,none,0,2.295373665,1.647686833,EUR/USD
2020-01-13 14:00:00,1,1.901642043,5,1.648796961,Double Bottom,1.11392,1.11113,0,1.121192143,1.109437857,none,0,4.297593921,2.648796961,EUR/USD
2020-01-14 10:00:00,1,-0.01576938859,5,2.114074682,Double Top,1.11096,1.11464,0,1.101859286,1.116380714,none,1,5.228149364,3.114074682,EUR/USD
2020-01-15 10:00:00,1,2.053705882,4,1.8,Double Bottom,1.11485,1.11179,0,1.12267,1.11009,none,0,4.6,2.8,EUR/USD
2020-01-16 10:00:00,1,1.970796915,5,1.283633248,Double Top,1.11508,1.11722,1,1.109132857,1.118887143,below,0,3.567266495,2.283633248,EUR/USD
2020-01-16 18:00:00,1,1.020487484,9,1.100570927,Double Bottom,1.11358,1.11179,0,1.118786429,1.110163571,none,1,3.201141853,2.100570927,EUR/USD
2020-01-21 06:00:00,0,-2.707633371,7,0.9375709421,Double Top,1.10901,1.11019,0,1.105391429,1.111448571,none,0,2.875141884,1.937570942,EUR/USD
2020-01-22 02:00:00,0,-3.086086957,9,0.5934782609,Double Bottom,1.10839,1.10761,0,1.111264286,1.106295714,none,0,2.186956522,1.593478261,EUR/USD
2020-01-23 06:00:00,0,-2.55703853,8,0.8844086022,Double Bottom,1.10837,1.10696,0,1.112784286,1.105365714,over,0,2.768817204,1.884408602,EUR/USD
2020-01-23 14:00:00,0,-3.604547044,5,2.820566632,Double Top,1.10505,1.11081,1,1.091487857,1.112852143,below,0,6.641133263,3.820566632,EUR/USD
2020-01-27 10:00:00,0,-5.326577369,6,0.6829268293,Double Bottom,1.10267,1.10145,0,1.106896429,1.099663571,none,0,2.365853659,1.682926829,EUR/USD
2020-01-28 22:00:00,0,-7.980766703,5,0.9353778751,Double Top,1.10149,1.10271,0,1.097745714,1.104014286,none,0,2.87075575,1.935377875,EUR/USD
2020-01-29 02:00:00,0,-8.276895184,10,1.37223796,Double Top,1.10143,1.10316,0,1.096709286,1.104420714,none,0,3.744475921,2.37223796,EUR/USD
2020-01-30 22:00:00,0,-5.834468719,28,0.7576961271,Double Top,1.10284,1.10393,0,1.099221429,1.105368571,none,0,2.515392254,1.757696127,EUR/USD
2020-02-05 10:00:00,0,-5.934556433,4,2.314909429,Double Top,1.10117,1.10473,1,1.092512143,1.106267857,none,0,5.629818857,3.314909429,EUR/USD
2020-02-12 10:00:00,0,-10.99505155,5,1.280143433,Double Top,1.09046,1.0925,1,1.084786429,1.094093571,none,0,3.560286867,2.280143433,EUR/USD
2020-02-17 18:00:00,0,-14.66547179,7,0.4193709436,Double Bottom,1.08339,1.08279,0,1.086020714,1.081359286,none,0,1.838741887,1.419370944,EUR/USD
2020-02-18 10:00:00,0,-14.01179574,4,2.10893617,Double Top,1.08017,1.08371,0,1.071411429,1.085388571,none,0,5.21787234,3.10893617,EUR/USD
2020-02-19 10:00:00,0,-13.10604576,5,1.82095544,Double Top,1.07929,1.08253,0,1.071030714,1.084309286,none,0,4.641910879,2.82095544,EUR/USD
2020-02-19 18:00:00,0,-12.04340927,6,1.182246661,Double Bottom,1.08031,1.07816,1,1.086428571,1.076341429,none,0,3.364493323,2.182246661,EUR/USD
2020-02-19 22:00:00,0,-11.88458814,4,0.8137028483,Double Top,1.07996,1.08147,0,1.075084286,1.083325714,none,0,2.627405697,1.813702848,EUR/USD
2020-02-20 06:00:00,0,-10.99805938,4,1.11006517,Double Bottom,1.07992,1.07773,1,1.086272857,1.075757143,none,0,3.22013034,2.11006517,EUR/USD
2020-02-20 14:00:00,0,-9.91168438,5,1.266988728,Double Top,1.07925,1.08206,0,1.071412143,1.084277857,none,0,3.533977456,2.266988728,EUR/USD
2020-02-21 10:00:00,0,-10.13434039,6,0.6191007061,Double Top,1.08087,1.08206,0,1.076567857,1.083982143,none,0,2.238201412,1.619100706,EUR/USD
2020-02-24 14:00:00,0,-4.40647651,5,2.385131647,Double Bottom,1.08703,1.08043,1,1.102997143,1.077662857,none,0,5.770263294,3.385131647,EUR/USD
2020-02-26 10:00:00,0,-4.013926952,5,1.523425693,Double Top,1.08649,1.09081,0,1.075014286,1.093645714,none,0,4.046851385,2.523425693,EUR/USD
2020-02-28 14:00:00,0,0.8164636961,4,1.250133144,Double Bottom,1.10006,1.09503,1,1.114143571,1.091006429,none,1,3.500266288,2.250133144,EUR/USD
2020-03-03 22:00:00,1,4.159289008,8,0.9808121374,Double Top,1.11659,1.1213,0,1.102367857,1.126102143,none,0,2.961624275,1.980812137,EUR/USD
2020-03-04 18:00:00,1,3.684080241,8,0.8569616239,Double Bottom,1.11333,1.10947,1,1.125554286,1.104965714,over,0,2.713923248,1.856961624,EUR/USD
2020-03-05 10:00:00,1,5.447759084,5,2.28781099,Double Bottom,1.11861,1.10948,1,1.140860714,1.105489286,over,0,5.57562198,3.28781099,EUR/USD
2020-03-13 17:00:00,1,1.164421292,7,0.6470922523,Double Bottom,1.11031,1.10543,0,1.127611429,1.097888571,over,0,2.294184505,1.647092252,EUR/USD
2020-03-16 09:00:00,1,1.674956144,11,0.814820887,Double Top,1.11651,1.12361,1,1.093596429,1.132323571,none,0,2.629641774,1.814820887,EUR/USD
2020-03-20 17:00:00,0,-3.095768023,5,0.6125191732,Double Bottom,1.06971,1.06372,1,1.091469286,1.053940714,none,0,2.225038346,1.612519173,EUR/USD
2020-03-23 01:00:00,0,-3.019037681,4,1.155942029,Double Bottom,1.0735,1.06353,1,1.102065,1.054905,none,0,3.311884058,2.155942029,EUR/USD
2020-03-23 13:00:00,0,-2.80666087,9,0.9379710145,Double Top,1.07495,1.08304,0,1.050145,1.091665,below,0,2.875942029,1.937971014,EUR/USD
2020-03-23 21:00:00,0,-2.39868851,6,1.97951073,Double Bottom,1.07954,1.06353,1,1.119647857,1.055442143,over,0,4.959021461,2.97951073,EUR/USD
2020-03-24 21:00:00,0,-2.653810526,5,0.5519617225,Double Bottom,1.07865,1.07453,1,1.094354286,1.067065714,over,0,2.103923445,1.551961722,EUR/USD
2020-03-25 09:00:00,0,-2.274578817,7,0.9495773247,Double Top,1.08193,1.08875,0,1.061107857,1.095932143,none,0,2.899154649,1.949577325,EUR/USD
2020-03-25 17:00:00,0,-1.534848783,6,2.081886669,Double Bottom,1.08815,1.07453,1,1.121932143,1.067987857,over,0,5.163773338,3.081886669,EUR/USD
2020-03-31 01:00:00,0,0.3136280165,11,1.034961742,Double Bottom,1.10155,1.09527,0,1.120177857,1.089202143,none,1,3.069923484,2.034961742,EUR/USD
2020-04-01 01:00:00,0,0.278719747,6,0.4370187019,Double Top,1.10157,1.10384,1,1.091835714,1.109034286,none,0,1.874037404,1.437018702,EUR/USD
2020-04-02 09:00:00,0,-2.445137005,4,1.751453086,Double Top,1.08789,1.09693,0,1.064648571,1.102091429,none,0,4.502906172,2.751453086,EUR/USD
2020-04-06 21:00:00,0,-6.220526316,10,0.7456140351,Double Bottom,1.07932,1.07677,1,1.08784,1.07335,over,0,2.49122807,1.745614035,EUR/USD
2020-04-09 09:00:00,0,-2.699941553,7,1.899908676,Double Bottom,1.09035,1.08292,0,1.109120714,1.079009286,none,0,4.799817352,2.899908676,EUR/USD
2020-04-10 17:00:00,0,-2.826603159,7,0.7335171722,Double Top,1.09312,1.09521,0,1.086090714,1.098059286,none,0,2.467034344,1.733517172,EUR/USD
2020-04-13 09:00:00,0,-3.3361886,4,1.669556081,Double Top,1.09218,1.09672,1,1.080380714,1.099439286,none,0,4.339112162,2.669556081,EUR/USD
2020-04-14 05:00:00,0,-3.649455562,7,1.849911713,Double Top,1.09223,1.09672,1,1.080822857,1.099147143,none,0,4.699823426,2.849911713,EUR/USD
2020-04-15 13:00:00,0,-2.442167177,28,2.029839327,Double Bottom,1.09162,1.08404,0,1.110514286,1.080305714,none,0,5.059678653,3.029839327,EUR/USD
2020-04-17 09:00:00,0,-2.74756161,5,1.125057401,Double Bottom,1.08639,1.08114,0,1.101556429,1.076473571,none,0,3.250114802,2.125057401,EUR/USD
2020-04-19 21:00:00,0,-3.543610224,10,1.134984026,Double Top,1.086,1.09006,0,1.074302857,1.093637143,none,0,3.269968051,2.134984026,EUR/USD
