date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2006-04-28 05:00:00,1.25284,1.25594,1.25664,1.25234,1.25305,1.25615,1.25685,1.25255,2237
2006-04-28 09:00:00,1.25594,1.25564,1.25674,1.25274,1.25615,1.25585,1.25695,1.25295,2691
2006-04-28 13:00:00,1.25564,1.26274,1.26334,1.25444,1.25585,1.26295,1.26355,1.25465,2644
2006-04-28 17:00:00,1.26274,1.26144,1.26314,1.26054,1.26295,1.26165,1.26335,1.26075,1771
2006-04-30 17:00:00,1.26144,1.26294,1.26354,1.26144,1.26165,1.26315,1.26375,1.26165,354
2006-04-30 21:00:00,1.26294,1.26144,1.26334,1.26104,1.26315,1.26165,1.26355,1.26125,742
2006-05-01 01:00:00,1.26144,1.26254,1.26384,1.26064,1.26165,1.26275,1.26405,1.26085,1410
2006-05-01 05:00:00,1.26254,1.26134,1.26414,1.26134,1.26275,1.26155,1.26435,1.26155,3334
2006-05-01 09:00:00,1.26134,1.26684,1.26764,1.26104,1.26155,1.26705,1.26785,1.26125,2398
2006-05-01 13:00:00,1.26684,1.26174,1.26884,1.25964,1.26705,1.26195,1.26905,1.25985,2817
2006-05-01 17:00:00,1.26174,1.25874,1.26264,1.25534,1.26195,1.25895,1.26285,1.25555,2242
2006-05-01 21:00:00,1.25874,1.25714,1.25904,1.25594,1.25895,1.25735,1.25925,1.25615,736
2006-05-02 01:00:00,1.25714,1.25784,1.25874,1.25704,1.25735,1.25805,1.25895,1.25725,652
2006-05-02 05:00:00,1.25784,1.26184,1.26324,1.25584,1.25805,1.26205,1.26345,1.25605,2532
2006-05-02 09:00:00,1.26184,1.26374,1.26674,1.26164,1.26205,1.26395,1.26695,1.26185,2527
2006-05-02 13:00:00,1.26374,1.26094,1.26544,1.26064,1.26395,1.26115,1.26565,1.26085,2625
2006-05-02 17:00:00,1.26094,1.26124,1.26324,1.26074,1.26115,1.26145,1.26345,1.26095,1968
2006-05-02 21:00:00,1.26124,1.26174,1.26184,1.26054,1.26145,1.26195,1.26205,1.26075,548
2006-05-03 01:00:00,1.26174,1.26414,1.26484,1.26174,1.26195,1.26435,1.26505,1.26195,865
2006-05-03 05:00:00,1.26414,1.26414,1.26694,1.26174,1.26435,1.26435,1.26715,1.26195,1593
2006-05-03 09:00:00,1.26414,1.26264,1.26444,1.26194,1.26435,1.26285,1.26465,1.26215,2121
2006-05-03 13:00:00,1.26264,1.26384,1.26584,1.25894,1.26285,1.26405,1.26605,1.25915,3046
2006-05-03 17:00:00,1.26384,1.26314,1.26524,1.26214,1.26405,1.26335,1.26545,1.26235,1870
2006-05-03 21:00:00,1.26314,1.26334,1.26424,1.26184,1.26335,1.26355,1.26445,1.26205,547
2006-05-04 01:00:00,1.26334,1.26204,1.26364,1.26074,1.26355,1.26225,1.26385,1.26095,875
2006-05-04 05:00:00,1.26204,1.25844,1.26284,1.25704,1.26225,1.25865,1.26305,1.25725,1985
2006-05-04 09:00:00,1.25844,1.26084,1.26384,1.25814,1.25865,1.26105,1.26405,1.25835,2095
2006-05-04 13:00:00,1.26084,1.26814,1.26964,1.26064,1.26105,1.26835,1.26985,1.26085,3002
2006-05-04 17:00:00,1.26814,1.26904,1.27244,1.26774,1.26835,1.26925,1.27265,1.26795,1894
2006-05-04 21:00:00,1.26904,1.26904,1.27124,1.26854,1.26925,1.26925,1.27145,1.26875,777
2006-05-05 01:00:00,1.26904,1.26984,1.27024,1.26834,1.26925,1.27005,1.27045,1.26855,658
2006-05-05 05:00:00,1.26984,1.26854,1.27044,1.26734,1.27005,1.26875,1.27065,1.26755,1606
2006-05-05 09:00:00,1.26854,1.27414,1.27644,1.26744,1.26875,1.27435,1.27665,1.26765,2243
2006-05-05 13:00:00,1.27414,1.27444,1.27634,1.27164,1.27435,1.27465,1.27655,1.27185,2722
2006-05-05 17:00:00,1.27444,1.27334,1.27454,1.27264,1.27465,1.27355,1.27475,1.27285,1686
2006-05-07 17:00:00,1.27274,1.27434,1.27394,1.27244,1.27295,1.27455,1.27415,1.27265,459
2006-05-07 21:00:00,1.27334,1.27214,1.27504,1.27194,1.27355,1.27235,1.27525,1.27215,736
2006-05-08 01:00:00,1.27214,1.27324,1.27324,1.27124,1.27235,1.27345,1.27345,1.27145,958
2006-05-08 05:00:00,1.27324,1.27704,1.27864,1.27244,1.27345,1.27725,1.27885,1.27265,1791
2006-05-08 09:00:00,1.27704,1.27464,1.27784,1.27414,1.27725,1.27485,1.27805,1.27435,2198
2006-05-08 13:00:00,1.27464,1.27124,1.27514,1.26944,1.27485,1.27145,1.27535,1.26965,2408
2006-05-08 17:00:00,1.27124,1.27094,1.27154,1.26914,1.27145,1.27115,1.27175,1.26935,1810
2006-05-08 21:00:00,1.27094,1.26964,1.27124,1.26854,1.27115,1.26985,1.27145,1.26875,586
2006-05-09 01:00:00,1.26964,1.26934,1.27084,1.26814,1.26985,1.26955,1.27105,1.26835,804
2006-05-09 05:00:00,1.26934,1.26944,1.27044,1.26584,1.26955,1.26965,1.27065,1.26605,1863
2006-05-09 09:00:00,1.26944,1.27084,1.27124,1.26714,1.26965,1.27105,1.27145,1.26735,1882
2006-05-09 13:00:00,1.27084,1.27544,1.27834,1.27054,1.27105,1.27565,1.27855,1.27075,2725
2006-05-09 17:00:00,1.27544,1.27584,1.27614,1.27474,1.27565,1.27605,1.27635,1.27495,1632
2006-05-09 21:00:00,1.27584,1.27554,1.27694,1.27504,1.27605,1.27575,1.27715,1.27525,704
2006-05-10 01:00:00,1.27554,1.27624,1.27654,1.27514,1.27575,1.27645,1.27675,1.27535,695
2006-05-10 05:00:00,1.27624,1.27784,1.28054,1.27594,1.27645,1.27805,1.28075,1.27615,2190
2006-05-10 09:00:00,1.27784,1.27834,1.27994,1.27714,1.27805,1.27855,1.28015,1.27735,2238
2006-05-10 13:00:00,1.27834,1.27834,1.28134,1.27674,1.27855,1.27855,1.28155,1.27695,2526
2006-05-10 17:00:00,1.27834,1.27834,1.28304,1.27514,1.27855,1.27855,1.28325,1.27535,2565
2006-05-10 21:00:00,1.27834,1.27534,1.27914,1.27484,1.27855,1.27555,1.27935,1.27505,849
2006-05-11 01:00:00,1.27534,1.27294,1.27544,1.27154,1.27555,1.27315,1.27565,1.27175,1336
2006-05-11 05:00:00,1.27294,1.27054,1.27554,1.26844,1.27315,1.27075,1.27575,1.26865,2973
2006-05-11 09:00:00,1.27054,1.27374,1.27744,1.27034,1.27075,1.27395,1.27765,1.27055,2533
2006-05-11 13:00:00,1.27374,1.28614,1.28724,1.27324,1.27395,1.28635,1.28745,1.27345,2772
2006-05-11 17:00:00,1.28614,1.28364,1.28664,1.28294,1.28635,1.28385,1.28685,1.28315,1747
2006-05-11 21:00:00,1.28364,1.28544,1.28734,1.28294,1.28385,1.28565,1.28755,1.28315,782
2006-05-12 01:00:00,1.28544,1.28604,1.28604,1.28404,1.28565,1.28625,1.28625,1.28425,965
2006-05-12 05:00:00,1.28604,1.28974,1.29064,1.28524,1.28625,1.28995,1.29085,1.28545,2241
2006-05-12 09:00:00,1.28974,1.29264,1.29564,1.28534,1.28995,1.29285,1.29585,1.28555,2376
2006-05-12 13:00:00,1.29264,1.28934,1.29264,1.28624,1.29285,1.28955,1.29285,1.28645,2844
2006-05-12 17:00:00,1.28934,1.29274,1.29314,1.28844,1.28955,1.29295,1.29335,1.28865,1437
2006-05-14 17:00:00,1.29274,1.29454,1.29464,1.29264,1.29295,1.29475,1.29485,1.29285,822
2006-05-14 21:00:00,1.29424,1.29224,1.29704,1.29164,1.29445,1.29245,1.29725,1.29185,1510
2006-05-15 01:00:00,1.29224,1.29244,1.29514,1.29154,1.29245,1.29265,1.29535,1.29175,1611
